"";"human";"OTHER"
"coastal sediment";0;0
"Coastal sediment";0;0
"coastal water";0;0
"coastal water body";0;0
"coastal water replicate1";0;0
"coastal water replicate2";0;0
"coastal water replicate3";0;0
"coastal wetland ecosystem [ENVO:00000230]";0;0
"coastal_water";0;0
"coastel marine";0;0
"Coffee ferment";0;0
"cold seep";0;0
"cold seeps";0;0
"Cold seeps";0;0
"Colombia, Antioquia";0;11
"Colombia, Cundinamarca";0;3
"colon";123;93
"Colon";134;44
"column_control_1";1;0
"column_control_2";1;0
"column_control_3";1;0
"column_control_4";1;0
"Common Effluent Treatment Plant";0;0
"compost";0;0
"Compost";0;0
"Compost tea";0;0
"coniferous forest";0;0
"coniferous forest biome";0;0
"Constructed feature";0;0
"continental subsurface zone";0;0
"continuous culture";0;0
"Control";93;0
"control_DNA";1;0
"cool tempreate";0;0
"Coral";0;0
"coral reef";0;276
"Coral reef";0;1
"Coral Reef";0;0
"costal lagoon periodically connected to the Atlantic Ocean";0;0
"costal lagoon periodicay coneccted to the Atlantic Ocean";0;0
"Cow";0;162
"cropland";0;0
"cropland (ENVO:01000245)";0;0
"cropland biome";0;1
"Cropland biome";0;0
"cropland biome ENVO:01000245";0;0
"cropping";0;0
"Cryoconite";0;0
"Cryoconite 1";0;0
"Cryoconite 10";0;0
"Cryoconite 11";0;0
"Cryoconite 12";0;0
"Cryoconite 13";0;0
"Cryoconite 14";0;0
"Cryoconite 15";0;0
"Cryoconite 16";0;0
"Cryoconite 17";0;0
"Cryoconite 18";0;0
"Cryoconite 19";0;0
"Cryoconite 2";0;0
"Cryoconite 20";0;0
"Cryoconite 3";0;0
"Cryoconite 4";0;0
"Cryoconite 5";0;0
"Cryoconite 6";0;0
"Cryoconite 7";0;0
"Cryoconite 8";0;0
"Cryoconite 9";0;0
"crystalline bedrock fracture";0;0
"cultivated";0;7
"cultivated environment";0;0
"cultivated habitat";0;0
"culture";0;0
"cultured habitat";0;0
"Cundinamarca";0;4
"Cystic fibrosis lung microbiome";20;0
"deciduous forest";0;0
"deciduous woodland";0;4
"deep-sea";0;0
"deep-sea coral community";0;0
"Deep-Sea sediment";0;0
"Deep-Sea sediment (DHAB)";0;0
"deep brine influenced site subseafloor sediment";0;0
"deep brine pool subseafloor sediment";0;0
"Deep ocean";0;0
"deep sea";0;0
"Deep Sea";0;0
"deep subsurface";0;0
"Deep subsurface";0;0
"Deep Subsurface";0;0
"dense settlement biome";18424;354
"dense settlement biome (ENVO:01000248)";0;4
"dental calculus";9;0
"Dental Caries";7;0
"Dental Plaque";4;0
"desert";0;1
"Desert";0;9
"DESERT";0;1
"Desert Agriculture";0;12
"desert biome";0;0
"Desert Soil";0;1
"Desert Springs";0;0
"Deserts";0;26
"Dietary supplement powder";0;0
"digestive system [UBERON:0001007]";0;832
"digestive tract environment";191;0
"Digestive tract environment";0;83
"Dilution Basin Mediterranean";0;0
"Dog";0;45
"domestic cat faeces";0;44
"domestic dog faeces";0;0
"drinking water";3;0
"drinking water distribution system";0;0
"Drinking water system";0;0
"duck cecum";0;0
"Dune";0;22
"dunesoil";0;0
"EBPR sludge";0;0
"EBPR Sludge";0;0
"ecological corridor";0;0
"Endorhiza";0;12
"Enrichment culture";0;0
"enrichment culture from haloalkaline lake";0;0
"entire larveae";0;0
"ENV:00000447";0;0
